소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,위도,경도,현장소방서거리,현장안전센터거리,발화요인,시설장소
강남소방서,역삼119안전센터,249,강남구,역삼동,203672.7963,544819.5166,37.9560666,127.0425747,2.4,0.9,방화의심,판매/업무시설
강남소방서,삼성119안전센터,430,강남구,삼성동,204086.23,545674.77,37.96377008,127.0472837,2.4,2.4,부주의,기타
강남소방서,삼성119안전센터,317,강남구,대치동,205250.73,545167.97,37.95919828,127.0605316,0.9,0.9,기계적 요인,생활서비스
강남소방서,삼성119안전센터,343,강남구,대치동,205702.2559,544627.7565,37.95432866,127.0656652,1.7,1.7,미상,생활서비스
강남소방서,영동119안전센터,623,강남구,논현동,202013.5147,545584.4746,37.96296339,127.0236967,4.9,2.5,부주의,생활서비스
강남소방서,영동119안전센터,459,강남구,논현동,201956.95,546374.04,37.97007692,127.0230551,5.4,1.5,기계적 요인,자동차/철도차량
강남소방서,역삼119안전센터,323,강남구,역삼동,202963.25,543913.62,37.94790766,127.0344975,4,0.9,부주의,생활서비스
강남소방서,삼성119안전센터,403,강남구,대치동,205442.3099,544585.098,37.95394591,127.0627072,1.9,1.9,제품결함,주거
강남소방서,역삼119안전센터,303,강남구,역삼동,203587.61,543823.62,37.94709462,127.0416005,4,0.6,부주의,교육시설
강남소방서,삼성119안전센터,436,강남구,삼성동,204325.71,546024.96,37.96692395,127.0500109,2.4,2.4,전기적 요인,주거
강남소방서,영동119안전센터,146,강남구,신사동,203436.6,547276.54,37.97820349,127.0398986,3.9,0.5,부주의,판매/업무시설
강남소방서,영동119안전센터,409,강남구,신사동,203466.4291,547546.1345,37.98063222,127.0402394,4.3,1.7,전기적 요인,기타
강남소방서,삼성119안전센터,431,강남구,삼성동,205186.2025,545837.0143,37.96522625,127.0598021,1.2,1.2,전기적 요인,자동차/철도차량
강남소방서,개포119안전센터,313,강남구,개포동,204812.46,541630.65,37.9273319,127.0555212,0.5,5.2,기계적 요인,판매/업무시설
강남소방서,개포119안전센터,328,강남구,개포동,205667.7647,541951.5532,37.93021815,127.065252,2,4.4,전기적 요인,주거
강남소방서,역삼119안전센터,838,강남구,역삼동,204123.43,545113.01,37.95870887,127.0477038,2,1.4,부주의,기타
강남소방서,삼성119안전센터,601,강남구,삼성동,203686.15,547411.38,37.97941733,127.0427397,2.3,2.3,전기적 요인,판매/업무시설
강남소방서,영동119안전센터,617,강남구,논현동,202589.1394,545345.4617,37.96080865,127.0302462,2.8,4.1,기타,주거
